step,episode,reward,epsilon,loss,duration
316772,308,-10.0,0.01,0.008671994725385844,4.4208409786224365
318686,309,-12.0,0.01,0.008413841071145055,4.2495808601379395
320291,310,-19.0,0.01,0.008230460338826358,3.5467875003814697
322537,311,-7.0,0.01,0.008468677899617954,4.873573064804077
324744,312,-8.0,0.01,0.008358944779172527,4.92521071434021
326451,313,-16.0,0.01,0.008765712785676665,3.778242588043213
329009,314,-4.0,0.01,0.008142958792086574,5.481270790100098
331663,315,-3.0,0.01,0.0077333293290145775,5.784876346588135
333570,316,-13.0,0.01,0.007928315773157234,4.070420265197754
336231,317,-3.0,0.01,0.008199107524399694,5.659820795059204
338958,318,-2.0,0.01,0.008352009320592022,5.982767820358276
341971,319,-2.0,0.01,0.007951048284133335,7.115819215774536
344370,320,-9.0,0.01,0.008082712536367278,5.369329452514648
346581,321,-9.0,0.01,0.007162356645392614,4.717526912689209
348175,322,-18.0,0.01,0.007212601584819936,3.6836352348327637
349728,323,-19.0,0.01,0.007857609182598601,3.398514747619629
351199,324,-19.0,0.01,0.008103787757225376,3.1603996753692627
352552,325,-21.0,0.01,0.007938870703416897,2.890406370162964
354146,326,-17.0,0.01,0.008316105362390585,3.5356454849243164
356292,327,-8.0,0.01,0.007831294200334566,4.760508298873901
358346,328,-9.0,0.01,0.007695082004806553,4.630868434906006
360095,329,-15.0,0.01,0.00769440362867164,3.9237349033355713
361198,330,-21.0,0.01,0.008238279462312821,2.3938090801239014
362707,331,-18.0,0.01,0.008863245026178817,3.36684513092041
364432,332,-13.0,0.01,0.009162262277472851,3.668555498123169
366237,333,-11.0,0.01,0.009115311072441333,4.018750905990601
367409,334,-21.0,0.01,0.009098459510752492,2.7080371379852295
369225,335,-14.0,0.01,0.00975083346331968,4.19936203956604
371230,336,-12.0,0.01,0.010351041623041733,4.499474048614502
373358,337,-11.0,0.01,0.00989553045185591,4.901966094970703
374835,338,-20.0,0.01,0.009553595326795446,3.255682945251465
376778,339,-10.0,0.01,0.008888222120506804,4.325799226760864
378869,340,-11.0,0.01,0.008923085586053906,4.6982176303863525
380208,341,-19.0,0.01,0.009245657857590869,3.173577070236206
381549,342,-19.0,0.01,0.009289709698937054,2.9481616020202637
383519,343,-9.0,0.01,0.00888252854503396,4.425616502761841
384854,344,-19.0,0.01,0.00924060586630785,3.039581775665283
386369,345,-19.0,0.01,0.009548974467630653,3.368626594543457
